username,repo_name,stars,repo_url
Genymobile,scrcpy,72900,https://github.com/Genymobile/scrcpy
neovim,neovim,59600,https://github.com/neovim/neovim
git,git,44200,https://github.com/git/git
obsproject,obs-studio,42900,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,41700,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,33000,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,32700,https://github.com/FFmpeg/FFmpeg
vim,vim,28900,https://github.com/vim/vim
curl,curl,27400,https://github.com/curl/curl
huihut,interview,26600,https://github.com/huihut/interview
ggreer,the_silver_searcher,24300,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,20700,https://github.com/pbatard/rufus
mpv-player,mpv,20600,https://github.com/mpv-player/mpv
ossrs,srs,19800,https://github.com/ossrs/srs
ruby,ruby,19700,https://github.com/ruby/ruby
google,flatbuffers,19100,https://github.com/google/flatbuffers
oracle,graal,17800,https://github.com/oracle/graal
radareorg,radare2,17200,https://github.com/radareorg/radare2
microsoft,vcpkg,17100,https://github.com/microsoft/vcpkg
kovidgoyal,kitty,16600,https://github.com/kovidgoyal/kitty
