username,repo_name,stars,repo_url
electron,electron,105000,https://github.com/electron/electron
puppeteer,puppeteer,80800,https://github.com/puppeteer/puppeteer
microsoft,playwright,44400,https://github.com/microsoft/playwright
FiloSottile,mkcert,38300,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,30400,https://github.com/iamadamdev/bypass-paywalls-chrome
ovity,octotree,22200,https://github.com/ovity/octotree
jaywcjlove,linux-command,21700,https://github.com/jaywcjlove/linux-command
segmentio,nightmare,19300,https://github.com/segmentio/nightmare
checkly,headless-recorder,14600,https://github.com/checkly/headless-recorder
google,WebFundamentals,13600,https://github.com/google/WebFundamentals
prisma-archive,chromeless,13200,https://github.com/prisma-archive/chromeless
casesandberg,react-color,11000,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,11000,https://github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,10000,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,9500,https://github.com/gildas-lormeau/SingleFile
MetaMask,metamask-extension,9000,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,8400,https://github.com/chromedp/chromedp
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
alvarcarto,url-to-pdf-api,6700,https://github.com/alvarcarto/url-to-pdf-api
moonD4rk,HackBrowserData,6500,https://github.com/moonD4rk/HackBrowserData
