username,repo_name,stars,repo_url
CyC2018,CS-Notes,159000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,80700,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,49800,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,41700,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,39400,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,33400,https://github.com/youngyangyang04/leetcode-master
carbon-language,carbon-lang,28600,https://github.com/carbon-language/carbon-lang
huihut,interview,26600,https://github.com/huihut/interview
microsoft,calculator,26200,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,25400,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,22500,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,22300,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,19200,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,18800,https://github.com/ethereum/solidity
doocs,leetcode,18100,https://github.com/doocs/leetcode
microsoft,vcpkg,17100,https://github.com/microsoft/vcpkg
gabime,spdlog,16100,https://github.com/gabime/spdlog
dragonflydb,dragonfly,16100,https://github.com/dragonflydb/dragonfly
catchorg,Catch2,15800,https://github.com/catchorg/Catch2
ssloy,tinyrenderer,15200,https://github.com/ssloy/tinyrenderer
